@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
0.22298,1,0,0,1,1,0.256668,161.105441,0.838875,1,2,bad
0.2425,0.000826,0,0,0.5,1,0.2425,30.88689,0.12426,0.007239,3,bad
0.089261,1,0,0,0.75,1,0.120682,226.920337,0.038388,0.311057,7,bad
0.034205,0.186448,0,0,1,1,0.047273,168.210947,0.044527,0.110017,6,bad
1,1,0,0,1,1,1,125.146932,1,1,2,bad
0.941142,0.674208,0,0,0.8,1,0.664208,63.017775,0.889674,1,31.666667,bad
1,1,0,0,1,1,1,55.358935,1,0.686968,33.25,bad
1,0.612525,0,0,1,1,1,186.452108,1,0.614928,31.333333,bad
0.091981,0.353023,0,0,0.75,1,0.090266,1,0.008086,0.317553,32,bad
1,0.641844,0,0.5,0.516854,0.5,1,119.698779,0.683477,0.014409,10.5,bad
0.370222,0.49815,0.075342,0.043379,0.74342,0.956621,0.453952,221.78391,0.271704,1,2,bad
0.528268,0.567864,1,0,0.333333,1,0.266459,120.329959,0.171816,0.495074,4,bad
1,1,0,0,1,1,1,226.483156,1,1,5,bad
0.936935,0.66463,0.041667,0.037634,0.763825,0.962366,1,172.790196,0.550578,0.60557,2,bad
1,1,0,0,1,1,1,244.544049,1,0.998139,0,bad
1,1,0,0,1,1,1,444.738777,1,1,1,bad
1,1,0,1,1,0,1,293.916346,1,1,1.5,good
0.732443,0.334972,0.125,0.210383,1,0.789617,0.534172,241.48303,1,0.213654,0,bad
0.937882,1,0.291667,0.166667,0.551651,0.833333,0.629975,230.125397,1,0.058591,9.916667,bad
1,1,0,0.25,1,0.75,1,229.700943,1,1,4.5,bad
0.568268,0.001941,0,0,0.75,1,0.575709,96.297066,0.60881,0.063054,16,bad
1,1,0.089286,0.071429,0.807692,0.928571,1,100.570757,0.503755,0.134304,9.928571,bad
1,0.428977,0,0,0.5,1,1,65.798609,1,0.03205,2,bad
1,1,0.004545,0.036364,1,0.963636,1,216.560465,1,1,0,bad
1,1,0.032407,0.092593,1,0.907407,1,190.757921,1,1,1,bad
1,1,0,1,1,0,1,123.700776,1,0.404251,31,good
0.368688,0.61582,0,0.095238,0.516854,0.904762,0.368688,155.014442,0.300547,1,8.761905,bad
0.328835,0.97259,0,0,0.59069,1,0.37647,81.150013,0.187015,0.149089,10.571429,bad
0.549095,1,0.017241,0.051724,0.64969,0.948276,0.429729,119.835097,0.547761,0.678075,5.862069,bad
0.176266,0.27832,0,0,0.75,1,0.17298,196.824655,0.243935,1,31,bad
0.184417,0.267518,0.039719,0.090909,0.832735,0.909091,0.120292,177.868755,0.052839,0.29008,2,bad
0.523359,0.818492,0.050847,0.067797,0.621417,0.932203,0.395563,167.058368,0.473096,1,6.237288,bad
1,0.250919,0,0.5,0.5,0.5,1,371.071897,1,0.151035,6,bad
0.835861,0.877812,0.047242,0.094485,0.790184,0.905515,0.839193,151.249714,0.493825,1,4.044078,bad
1,1,0,0,1,1,1,179.965683,1,1,12,bad
1,1,0,0,1,1,1,272.475495,1,0.264539,8,bad
1,1,0,1,1,0,1,71.007142,1,0.324234,6,bad
0.954972,0.872148,0.074074,0.018519,0.660096,0.981481,0.84212,122.727958,0.575577,0.704308,8.703704,bad
0.516704,0.769863,0,0,0.75,1,0.507073,114.324555,0.036388,1,38,bad
1,0.076997,0,0,0.75,1,1,136.442395,1,0.213612,30,bad
0.381259,0.209578,0.05125,0.025,1,0.975,0.208241,199.928991,0.652953,0.269977,0,bad
0.605521,0.293817,0.047619,0.095238,0.701445,0.904762,0.891609,135.937226,0.79756,1,4.071429,bad
1,1,0,0,1,1,1,225.816297,1,1,2,bad
0.098432,0.033219,0,0,0.5,1,0.098432,105,0.043849,0.835001,22,bad
0.302662,1,0,0,0.762821,1,0.264089,146.326949,0.434859,0.345599,8.214286,bad
0.497773,0.354301,0.011494,0.017241,0.86649,0.982759,0.455342,159.880044,0.5548,0.57373,2,bad
1,1,0,1,1,0,1,36.71512,1,0.67991,18,bad
1,1,0.066667,0.283333,1,0.716667,1,235.684533,1,0.884691,3.15,bad
1,0.386739,0,0,1,1,0.683679,113.562382,1,0.361866,4,bad
1,1,0,0,1,1,1,200.517315,1,0.282022,15,bad
0.580338,0.550697,0.0375,0.08125,0.75746,0.91875,0.461383,125.839332,0.544734,0.848736,3.9375,bad
0.669336,0.755208,0,0,0.678955,1,0.61756,113.744123,0.695204,0.112172,7.444444,bad
1,1,0.04697,0.1,0.803967,0.9,1,170.956022,1,1,2,bad
1,0.587958,0.089254,0.098684,1,0.901316,1,265.865893,1,0.287581,0,bad
1,1,0.064103,0.04359,0.835431,0.95641,1,172.189784,1,0.573545,4.076923,bad
1,1,0,0,1,1,1,297.748792,1,0.449772,4,bad
1,1,0,0,1,1,1,179.376169,1,1,9,bad
1,1,0,0,1,1,1,84,1,1,1,bad
1,1,0,0,1,1,1,117.584195,1,0.253688,7,bad
1,1,0,0,1,1,1,199.274517,1,0.797098,1,bad
1,1,0,0,1,1,1,175.029019,1,0.438669,8,bad
1,0.797685,0.011494,0.011494,1,0.988506,1,193.45606,0.835018,0.809194,1,bad
0.629545,1,0,0,0.714286,1,0.491217,131.55273,1,0.267532,6.166667,bad
1,0.911918,0,0.03125,1,0.96875,1,210.867261,1,1,3.9375,bad
1,1,0,0,1,1,1,144,1,0.039099,29,bad
1,1,0,0,1,1,1,113.004425,1,0.02614,28,bad
0.472217,0.020938,0,0,0.75,1,0.861679,161.686962,0.065164,0.553496,21,bad
0.526436,1,0.111111,0.277778,1,0.722222,0.74594,235.205652,0.540177,0.025,6,bad
1,1,0,1,1,0,1,237.860687,1,0.911344,4,bad
0.740969,0.879437,0.029762,0,0.81039,1,0.91676,119.895299,0.427012,1,5.178571,bad
1,1,0,0,1,1,1,146,1,0.68902,4,bad
0.020101,1,0,0,1,1,0.020101,9.219544,0.024169,1,0,bad
0.245092,1,0.018987,0.006329,0.732423,0.993671,0.23188,152.475123,0.551734,1,1,bad
1,1,0,0,0.5,1,0.504045,177.890416,0.876231,1,14,bad
0,1,0,0,1,1,0,35.383612,1,0.471781,74,bad
1,1,0,0,1,1,1,106,1,0.075499,67,bad
1,1,0,0,1,1,1,149,1,1,5,bad
1,1,0,0,1,1,1,159,1,0.155882,126,bad
0.072124,0.846731,0,0,0.714286,1,0.056276,131.095385,0.001819,1,10,bad
1,1,0,0.277778,1,0.722222,1,232.603259,1,1,2,bad
1,1,0,0,1,1,1,205.626273,1,1,1,bad
1,1,0,0,1,1,1,110.004545,1,0.528868,33,bad
0,1,0,1,1,0,0,104.582196,1,0.307595,1,good
1,1,0,0,1,1,1,65.388525,1,0.128718,4,bad
1,1,0.5,0,1,1,1,265.527233,1,0.214049,10,bad
1,1,0,0,1,1,1,13,1,0.010501,9,bad
1,1,0,0,1,1,1,9.219544,1,0.026192,3,bad
0.676559,0.96622,0.011628,0.05814,0.798309,0.94186,0.670023,149.786617,0.447287,1,3.093023,bad
1,1,0,0,1,1,1,55,1,0.061867,135,bad
1,1,0,0.5,1,0.5,1,159.003191,1,0.199849,34,bad
1,1,0,0,1,1,1,128,1,1,58,bad
1,1,0.2,0,1,1,1,110.608492,1,0.820538,0,bad
1,1,0,0,1,1,1,139,1,1,57,bad
1,0.704916,0.051724,0.086207,0.763926,0.913793,1,258.025524,0.964814,0.184771,1.344828,bad
1,1,0,0,1,1,1,115,1,0.597665,6,bad
1,1,0,0,1,1,1,17,1,0.145562,5,bad
0.464815,1,0,0,1,1,0.92963,121.270365,1,0.00152,61,bad
0.03663,0.560561,0,0.166667,0.509217,0.833333,0.018998,130.630316,0.140519,0.23161,11.333333,bad
1,1,0,0,1,1,1,175.841623,1,1,185,bad
1,1,0,0,1,1,1,104.120123,1,1,7,bad
1,1,0,0,1,1,1,103.004854,1,1,198,bad
0.842593,0.450982,0,0,1,1,0.842593,170,0.842593,0.304595,70,bad
1,1,0,0.125,1,0.875,1,129.077975,1,1,6.125,bad
1,0.700584,0.5,0,0.727273,1,1,625.886544,1,1,7,bad
1,1,0,0,1,1,1,121.707978,0.559889,1,9,bad
1,0.304696,0,0,1,1,1,71,1,0.091319,69,bad
1,0.546997,0,0,1,1,1,154,1,0.16511,71,bad
0,1,0,0,1,1,0,0,0,0,1,bad
1,0.106644,0,0,1,1,1,361.513649,1,0.587441,3,bad
1,1,0,0,1,1,1,142.160744,1,1,6,bad
1,1,0,0,1,1,1,165.437502,1,1,8,bad
0.119684,0.306906,0,0,0.614182,1,0.070585,45.976905,0.063045,0.007036,5.111111,bad
0.097797,0.302602,0,0,0.690955,1,0.052002,80.798821,0.048881,0.039969,4.125,bad
1,1,0,0,1,1,1,238.447979,1,0.251262,6,bad
1,1,0,0,1,1,1,957.824819,1,1,3,bad
0.192157,0.388792,0,0,1,1,0.192157,44,0.192157,1,120,bad
0.990196,0.684831,0,0,1,1,0.990196,97,0.990196,0.427813,124,bad
0.201883,0.764777,0.5,0,1,1,0.223575,189.65696,0.430875,1,1,bad
0.226265,0.147432,0,0,1,1,0.275629,122.292125,0.085783,0.304324,0,bad
1,0.925554,0,0,0.5,1,0.779196,149,1,0.031807,6,bad
1,0.648424,0.333333,0,1,1,1,440.308592,1,0.049539,12,bad
0.178206,0.478046,0.038377,0.097368,0.622807,0.902632,0.124653,178.601004,0.905845,1,3,bad
0.701134,1,0.026786,0.1875,1,0.8125,0.527647,181.402366,0.682161,0.103975,3,bad
1,0.60419,0,0.03125,0.807692,0.96875,0.46619,180.249141,1,0.169249,4,bad
0.446775,0.546769,0.111111,0,0.777778,1,0.184756,106.268812,0.520473,1,5.111111,bad
0.151845,0.822852,0,0,1,1,0.151845,14,0.255147,0.024,30,bad
0.176797,1,0.047619,0.142857,0.627429,0.857143,0.111058,94.606565,0.62416,1,7,bad
1,1,0.25,0.25,1,0.75,1,406.660313,1,0.360442,4,good
0.234122,0.994119,0,0,0.5,1,0.140084,175.401754,0.382104,1,3,bad
0.307259,0.2809,0,0,0.5,1,0.183845,120.418451,0.091898,1,9,bad
0.097745,0.988608,0,0,1,1,0.11697,158.720135,0.56711,0.213589,2,bad
1,1,0,1,1,0,1,53.814496,1,1,177,bad
1,1,1,0,1,1,1,425.611171,1,1,9,bad
0.456935,1,0.090909,0.045455,0.8,0.954545,0.636106,161.063807,0.393573,0.031408,4.454545,bad
1,1,1,0,1,1,1,302.966021,1,1,0,bad
0.702778,0.539026,0,0,0.5,1,0.702778,168.026784,1,0.00173,55,bad
1,0.506228,0,0,1,1,1,78,1,1,133,bad
1,1,0,1,1,0,1,515.858663,1,1,6.5,bad
0.884441,1,0.101449,0.028986,0.742029,0.971014,0.724548,189.178956,1,1,2,bad
1,1,0,0,1,1,1,414.83089,1,1,4,bad
0.419171,1,0.25,0,1,1,0.670311,157.90274,0.366176,1,5,bad
0.154106,1,0,0,1,1,0.154106,55,0.811518,0.385427,190,bad
1,1,0,0,1,1,1,172,1,0.172841,201,bad
1,1,0,0,1,1,1,56.021729,1,0.054387,203,bad
0.506612,0.283775,0.01087,0,1,1,0.657439,120.185568,0.522692,1,1,bad
0.954721,0.34073,0.041667,0.125,0.951128,0.875,1,235.106308,1,0.537212,0,bad
1,1,0,1,1,0,1,147.632623,1,1,0,good
0.282319,0.235874,0,0,1,1,0.282319,108,0.4387,1,175,bad
